URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/bundle-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.613",BundleType,null,"Indicates the purpose of a bundle - how it was intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/care-plan-activity-category,1.0.0,draft,"2.16.840.1.113883.4.642.1.132",CarePlanActivityCategory,null,"High-level categorization of the type of activity in a care plan.","ValueSet/care-plan-activity-category"
http://hl7.org/fhir/care-plan-activity-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.135",CarePlanActivityStatus,null,"Indicates where the activity is at in its overall life cycle.","ValueSet/care-plan-activity-status"
http://hl7.org/fhir/care-plan-intent,3.0.2,draft,"2.16.840.1.113883.4.642.1.142",CarePlanIntent,null,"Codes indicating the degree of authority/intentionality associated with a care plan","ValueSet/care-plan-intent"
http://hl7.org/fhir/care-plan-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.131",CarePlanStatus,null,"Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.","ValueSet/care-plan-status"
http://hl7.org/fhir/care-team-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.147",CareTeamCategory,null,"Indicates the type of care team.","ValueSet/care-team-category"
http://hl7.org/fhir/care-team-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.145",CareTeamStatus,null,"Indicates the status of the care team.","ValueSet/care-team-status"
http://hl7.org/fhir/composition-attestation-mode,3.0.2,draft,"2.16.840.1.113883.4.642.1.234",CompositionAttestationMode,null,"The way in which a person authenticated a composition.","ValueSet/composition-attestation-mode"
http://hl7.org/fhir/composition-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.237",CompositionStatus,null,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/condition-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.154",Condition Category Codes,null,"Preferred value set for Condition Categories.","ValueSet/condition-category"
http://hl7.org/fhir/condition-clinical,3.0.2,draft,"2.16.840.1.113883.4.642.1.156",Condition Clinical Status Codes,null,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://hl7.org/fhir/condition-ver-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.158",ConditionVerificationStatus,null,"The verification status to support or decline the clinical status of the condition or diagnosis.","ConceptMap/VerificatieStatusCodelijst-to-ConditionVerificationStatus,ValueSet/condition-ver-status"
http://hl7.org/fhir/consent-data-meaning,3.0.2,draft,"2.16.840.1.113883.4.642.1.744",ConsentDataMeaning,null,"How a resource reference is interpreted when testing consent restrictions","ValueSet/consent-data-meaning"
http://hl7.org/fhir/consent-except-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.742",ConsentExceptType,null,"How an exception statement is applied, such as adding additional consent or removing consent","ValueSet/consent-except-type"
http://hl7.org/fhir/consent-state-codes,3.0.2,draft,"2.16.840.1.113883.4.642.1.740",ConsentState,null,"Indicates the state of the consent","ValueSet/consent-state-codes"
http://hl7.org/fhir/consentaction,3.0.2,draft,"2.16.840.1.113883.4.642.1.738",Consent Action Codes,null,"This value set includes sample Consent Action codes.","ValueSet/consent-action"
http://hl7.org/fhir/consentcategorycodes,3.0.2,draft,"2.16.840.1.113883.4.642.1.736",Consent Category Codes,null,"This value set includes sample Consent Directive Type codes, including several consent directive related LOINC codes; HL7 VALUE SET: ActConsentType(2.16.840.1.113883.1.11.19897); examples of US realm consent directive legal descriptions and references to online and/or downloadable forms such as the SSA-827 Authorization to Disclose Information to the Social Security Administration; and other anticipated consent directives related to participation in a clinical trial, medical procedures, reproductive procedures; health care directive (Living Will); advance directive, do not resuscitate (DNR); Physician Orders for Life-Sustaining Treatment (POLST)","ValueSet/consent-category"
http://hl7.org/fhir/contact-point-system,3.0.2,draft,"2.16.840.1.113883.4.642.1.65",ContactPointSystem,null,"Telecommunications form for contact point","ConceptMap/TelecomSoortCodelijst-to-ContactPointSystem,ConceptMap/EmailSoortCodelijst-to-ContactPointSystem,ConceptMap/TelecomSoortCodelijst-to-ContactPointUse,ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,3.0.2,draft,"2.16.840.1.113883.4.642.1.67",ContactPointUse,null,"Use of contact point","ValueSet/contact-point-use,ConceptMap/NummerSoortCodelijst-to-ContactPointUse,ConceptMap/EmailSoortCodelijst-to-ContactPointUse"
http://hl7.org/fhir/contactentity-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.406",ContactEntityType,null,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://hl7.org/fhir/data-absent-reason,3.0.2,draft,"2.16.840.1.113883.4.642.1.6",DataAbsentReason,null,"Used to specify why the normally expected content of the data element is missing.","ValueSet/observation-valueabsentreason,ValueSet/data-absent-reason"
http://hl7.org/fhir/days-of-week,3.0.2,draft,"2.16.840.1.113883.4.642.1.507",DaysOfWeek,null,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/device-statement-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.204",DeviceUseStatementStatus,null,"A coded concept indicating the current status of a the Device Usage","ValueSet/device-statement-status"
http://hl7.org/fhir/device-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.200",FHIRDeviceStatus,null,"The availability status of the device.","ValueSet/device-status"
http://hl7.org/fhir/diagnosis-role,3.0.2,draft,"2.16.840.1.113883.4.642.1.49",DiagnosisRole,null,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","ValueSet/diagnosis-role"
http://hl7.org/fhir/diagnostic-report-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.231",DiagnosticReportStatus,null,"The status of the diagnostic report as a whole.","ValueSet/diagnostic-report-status"
http://hl7.org/fhir/diet,3.0.2,draft,"2.16.840.1.113883.4.642.1.251",Diet,null,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","ValueSet/encounter-diet"
http://hl7.org/fhir/document-reference-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.8",DocumentReferenceStatus,null,"The status of the document reference.","ValueSet/document-reference-status"
http://hl7.org/fhir/document-relationship-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.240",DocumentRelationshipType,null,"The type of relationship between documents.","ValueSet/document-relationship-type"
http://hl7.org/fhir/encounter-location-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.258",EncounterLocationStatus,null,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-special-arrangements,3.0.2,draft,"2.16.840.1.113883.4.642.1.249",SpecialArrangements,null,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","ValueSet/encounter-special-arrangements"
http://hl7.org/fhir/encounter-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.242",EncounterStatus,null,"Current state of the encounter","ValueSet/encounter-status"
http://hl7.org/fhir/encounter-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.244",EncounterType,null,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","ValueSet/encounter-type"
http://hl7.org/fhir/entformula-additive,3.0.2,draft,"2.16.840.1.113883.4.642.1.380",Enteral Formula Additive Type Code,null,"EnteralFormulaAdditiveType: Codes for the type of modular component such as protein, carbohydrate or fiber to be provided in addition to or mixed with the base formula. This value set is provided as a suggestive example.","ValueSet/entformula-additive"
http://hl7.org/fhir/episode-of-care-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.649",EpisodeOfCareStatus,null,"The status of the episode of care.","ValueSet/episode-of-care-status"
http://hl7.org/fhir/episodeofcare-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.651",EpisodeOfCareType,null,"This example value set defines a set of codes that can be used to express the usage type of an EpisodeOfCare record.","ValueSet/episodeofcare-type"
http://hl7.org/fhir/event-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.101",EventStatus,null,"Codes identifying the stage lifecycle stage of a event","ValueSet/event-status"
http://hl7.org/fhir/event-timing,3.0.2,draft,"2.16.840.1.113883.4.642.1.69",EventTiming,null,"Real world event relating to the schedule.","ValueSet/event-timing"
http://hl7.org/fhir/extra-security-role-type,3.0.2,draft,,SecurityRoleType,null,"This CodeSystem contains Additional FHIR-defined Security Role types not defined elsewhere","ValueSet/security-role-type"
http://hl7.org/fhir/flag-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.111",FlagStatus,null,"Indicates whether this flag is active and needs to be displayed to a user, or whether it is no longer needed or entered in error.","ValueSet/flag-status"
http://hl7.org/fhir/fm-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.585",Financial Resource Status Codes,null,"This value set includes Status codes.","ValueSet/fm-status"
http://hl7.org/fhir/goal-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.271",GoalCategory,null,"Example codes for grouping goals for filtering or presentation.","ValueSet/goal-category"
http://hl7.org/fhir/goal-priority,3.0.2,draft,"2.16.840.1.113883.4.642.1.269",GoalPriority,null,"Indicates the level of importance associated with reaching or sustaining a goal.","ValueSet/goal-priority"
http://hl7.org/fhir/goal-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.267",GoalStatus,null,"Indicates whether the goal has been met and is still being targeted","ValueSet/goal-status"
http://hl7.org/fhir/http-verb,3.0.2,draft,"2.16.840.1.113883.4.642.1.617",HTTPVerb,null,"HTTP verbs (in the HTTP command line).","ValueSet/http-verb"
http://hl7.org/fhir/identifier-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.45",Identifier Type Codes,null,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","ValueSet/identifier-type"
http://hl7.org/fhir/identifier-use,3.0.2,draft,"2.16.840.1.113883.4.642.1.53",IdentifierUse,null,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/identity-assuranceLevel,3.0.2,draft,"2.16.840.1.113883.4.642.1.641",IdentityAssuranceLevel,null,"The level of confidence that this link represents the same actual person, based on NIST Authentication Levels.","ValueSet/identity-assuranceLevel"
http://hl7.org/fhir/immunization-origin,3.0.2,draft,"2.16.840.1.113883.4.642.1.294",Immunization Origin Codes,null,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the source of the data when the report of the immunization event is not based on information from the person, entity or organization who administered the vaccine. This value set is provided as a suggestive example.","ValueSet/immunization-origin"
http://hl7.org/fhir/immunization-recommendation-date-criterion,3.0.2,draft,"2.16.840.1.113883.4.642.1.299",Immunization Recommendation Date Criterion Codes,null,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support the definition of dates relevant to recommendations for future doses of vaccines. This value set is provided as a suggestive example.","ValueSet/immunization-recommendation-date-criterion"
http://hl7.org/fhir/immunization-recommendation-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.297",Immunization Recommendation Status Codes,null,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the status of the patient towards perceived immunity against a vaccine preventable disease. This value set is provided as a suggestive example.","ValueSet/immunization-recommendation-status"
http://hl7.org/fhir/link-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.413",LinkType,null,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/list-empty-reason,3.0.2,draft,"2.16.840.1.113883.4.642.1.314",List Empty Reasons,null,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","ValueSet/list-empty-reason"
http://hl7.org/fhir/list-example-use-codes,3.0.2,draft,"2.16.840.1.113883.4.642.1.308",Example Use Codes for List,null,"Example use codes for the List resource - typical kinds of use.","ValueSet/list-example-codes"
http://hl7.org/fhir/list-mode,3.0.2,draft,"2.16.840.1.113883.4.642.1.310",ListMode,null,"The processing mode that applies to this list","ValueSet/list-mode"
http://hl7.org/fhir/list-order,3.0.2,draft,"2.16.840.1.113883.4.642.1.316",List Order Codes,null,"Base values for the order of the items in a list resource.","ValueSet/list-order"
http://hl7.org/fhir/list-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.318",ListStatus,null,"The current state of the list","ValueSet/list-status"
http://hl7.org/fhir/location-mode,3.0.2,draft,"2.16.840.1.113883.4.642.1.322",LocationMode,null,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-physical-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.320",LocationType,null,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","ValueSet/location-physical-type"
http://hl7.org/fhir/location-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.324",LocationStatus,null,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/medication-admin-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.331",MedicationAdministrationStatus,null,"A set of codes indicating the current status of a MedicationAdministration.","ValueSet/immunization-status"
http://hl7.org/fhir/name-assembly-order,3.0.2,draft,"2.16.840.1.113883.4.642.1.833",HumanNameAssemblyOrder,null,"A code that represents the preferred display order of the components of a human name","ConceptMap/NaamgebruikCodelijst-to-HumanNameAssemblyOrder,ValueSet/name-assembly-order"
http://hl7.org/fhir/name-use,3.0.2,draft,"2.16.840.1.113883.4.642.1.59",NameUse,null,"The use of a human name","ValueSet/name-use"
http://hl7.org/fhir/nutrition-request-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.370",NutritionOrderStatus,null,"Codes specifying the state of the request. Describes the lifecycle of the nutrition order.","ValueSet/nutrition-request-status"
http://hl7.org/fhir/observation-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.393",Observation Category Codes,null,"Observation Category codes.","ValueSet/observation-category"
http://hl7.org/fhir/observation-relationshiptypes,3.0.2,draft,"2.16.840.1.113883.4.642.1.390",ObservationRelationshipType,null,"Codes specifying how two observations are related.","ValueSet/observation-relationshiptypes"
http://hl7.org/fhir/observation-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.388",ObservationStatus,null,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/organization-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.404",OrganizationType,null,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/organization-type"
http://hl7.org/fhir/participant-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.246",ParticipantType,null,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","ValueSet/encounter-participant-type"
http://hl7.org/fhir/policyholder-relationship,3.0.2,draft,"2.16.840.1.113883.4.642.1.516",Policyholder Relationship Codes,null,"This value set includes codes for the relationship between the Policyholder and the Beneficiary (insured/covered party/patient)..","ValueSet/policyholder-relationship"
http://hl7.org/fhir/practitioner-role,3.0.2,draft,"2.16.840.1.113883.4.642.1.431",PractitionerRole,null,"This example value set defines a set of codes that can be used to indicate the role of a Practitioner.","ValueSet/practitioner-role"
http://hl7.org/fhir/quantity-comparator,3.0.2,draft,"2.16.840.1.113883.4.642.1.55",QuantityComparator,null,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/reaction-event-certainty,3.0.2,draft,"2.16.840.1.113883.4.642.1.860",AllergyIntoleranceCertainty,null,"Statement about the degree of clinical certainty that a specific substance was the cause of the manifestation in a reaction event.","ConceptMap/AllergieStatusCodelijst-to-allergy-status"
http://hl7.org/fhir/reaction-event-severity,3.0.2,draft,"2.16.840.1.113883.4.642.1.126",AllergyIntoleranceSeverity,null,"Clinical assessment of the severity of a reaction event as a whole, potentially considering multiple different manifestations.","ValueSet/reaction-event-severity"
http://hl7.org/fhir/referencerange-meaning,3.0.2,draft,"2.16.840.1.113883.4.642.1.385",Observation Reference Range Meaning Codes,null,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://hl7.org/fhir/request-intent,3.0.2,draft,"2.16.840.1.113883.4.642.1.105",RequestIntent,null,"Codes indicating the degree of authority/intentionality associated with a request","ValueSet/request-intent"
http://hl7.org/fhir/request-priority,3.0.2,draft,"2.16.840.1.113883.4.642.1.107",RequestPriority,null,"Identifies the level of importance to be assigned to actioning the request","ValueSet/request-priority"
http://hl7.org/fhir/request-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.103",RequestStatus,null,"Codes identifying the stage lifecycle stage of a request","ValueSet/request-status"
http://hl7.org/fhir/resource-types,3.0.2,draft,,ResourceType,null,"One of the resource types defined as part of FHIR.","ValueSet/consent-content-class"
http://hl7.org/fhir/search-entry-mode,3.0.2,draft,"2.16.840.1.113883.4.642.1.615",SearchEntryMode,null,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement.","ValueSet/search-entry-mode"
http://hl7.org/fhir/service-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.511",ServiceCategory,null,"This value set defines an example set of codes that can be used to classify groupings of service-types/specialties.","ValueSet/service-category"
http://hl7.org/fhir/service-provision-conditions,3.0.2,draft,"2.16.840.1.113883.4.642.1.509",ServiceProvisionConditions,null,"The code(s) that detail the conditions under which the healthcare service is available/offered.","ValueSet/service-provision-conditions"
http://hl7.org/fhir/service-referral-method,3.0.2,draft,"2.16.840.1.113883.4.642.1.505",ReferralMethod,null,"The methods of referral can be used when referring to a specific HealthCareService resource.","ValueSet/service-referral-method"
http://hl7.org/fhir/service-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.513",ServiceType,null,"This value set defines an example set of codes of service-types.","ValueSet/service-type"
http://hl7.org/fhir/sid/cvx,4.0.0,active,"2.16.840.1.113883.12.292",CVX,Vaccine Administered Code Set (CVX),"The CDC's National Center of Immunization and Respiratory Diseases (NCIRD - see [https://www.cdc.gov/ncird/](https://www.cdc.gov/ncird/)) developed and maintains the CVX (vaccine administered) code set. It includes both active and inactive vaccines available in the US. CVX codes for inactive vaccines allow transmission of historical immunization records. When a MVX (manufacturer) code is paired with a CVX (vaccine administered) code, the specific trade named vaccine may be indicated. These codes should be used for immunization messages using either HL7 Version 2.3.1 or HL7 Version 2.5.1. CVX is the underlying Master Code System for V2 table 0292 (Vaccines Administered). The machine readable name for CVX in PHIN VADS is PH_VaccinesAdministeredCVX_CDC_NIP. The version of the CVX code set for certification can be found on the archive page:[https://www2a.cdc.gov/vaccines/iis/iisstandards/mu3versioned_codes.asp](https://www2a.cdc.gov/vaccines/iis/iisstandards/mu3versioned_codes.asp)     The Status column indicates if the vaccine is currently available in the United States.    *  Active: A currently available administrable vaccine     *  Inactive: An administrable vaccine formulation that is no longer available for patient administration, but can be found in historical patient records OR A historical record of a vaccine administered where the exact formulation is unknown     *  Pending: A vaccine that is expected to become active in the future     *  Non-US: A vaccine that available outside the US only     *  Never Active: A vaccine that was never available and is not in the pipeline of new vaccines     The Last Updated column indicates the last time this particular vaccine code was updated in this table.    Questions regarding this table should be directed to the IIS Technical Assistance Team via iisinfo@cdc.gov (or use mailing address via [https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx#addr](https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx#addr))     HL7 Implementers should note that 'Status' IS NOT CONCEPT STATUS as all codes are ACTIVE in this code system.    The current code system is available via [https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx](https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx)","ValueSet/vaccine-code"
http://hl7.org/fhir/sid/icf-nl,1.0.0,active,,ICFDut,International Classification of Functioning, Disability and Health, Dutch Translation,"""The International Classification of Functioning, Disability and Health, known more commonly as ICF, is a classification of health and health-related domains. As the functioning and disability of an individual occurs in a context, ICF also includes a list of environmental factors.    ICF is the WHO framework for measuring health and disability at both individual and population levels.    ICF was officially endorsed by all 191 WHO Member States in the Fifty-fourth World Health Assembly on 22 May 2001(resolution [WHA 54.21](http://apps.who.int/gb/archive/pdf_files/WHA54/ea54r21.pdf) ) as the international standard to describe and measure health and disability.    ICF is based on the same foundation as ICD and ICHI and share the same set of extension codes that enable documentation at a higher level of detail.""    ""The Dutch translation of the ICF is published in book form by BSL. The ICF can also be consulted online in the [Classification Browser](https://class.whofic.nl/browser.aspx?scheme=ICF-nl.cla).    The ICF team of the WHO-FIC Collaborating Center combines expertise in the field of the ICF for the Dutch language area and currently consists of delegations from the Netherlands Paramedical Institute, the University Medical Center Groningen, Maastricht University, the Big Move Institute, Stichting Scientific Research Road Safety, University of Ghent, Vilans, and Rehabilitation Center de Hoogstraat.""    Official updates to the ICF are available as annual lists of changes.    These updates are approved annually at the October meeting of the WHO Family of International Classifications (WHO-FIC) Network.    To license ICF, the same rules apply for ICF as for ICD. See [http://icd.who.int/](http://icd.who.int/).    For more information, see [https://www.whofic.nl/familie-van-internationale-classificaties/referentie-classificaties/icf](https://www.whofic.nl/familie-van-internationale-classificaties/referentie-classificaties/icf).","ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.4.26.6--20171231000000,ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.5.1.3--20171231000000,ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.4.26.3--20171231000000"
http://hl7.org/fhir/specimen-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.465",SpecimenStatus,null,"Codes providing the status/availability of a specimen.","ValueSet/specimen-status"
http://hl7.org/fhir/substance-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.470",Substance Category Codes,null,"Substance category codes","ValueSet/substance-category"
http://hl7.org/fhir/substance-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.468",FHIRSubstanceStatus,null,"A code to indicate if the substance is actively used","ValueSet/substance-status"
http://hl7.org/fhir/udi-entry-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.202",UDIEntryType,null,"Codes to identify how UDI data was entered","ValueSet/udi-entry-type"
http://hl7.org/fhir/v2/0074,2.8.2,active,"2.16.840.1.113883.18.29",v2 Diagnostic Service Section ID,null,"FHIR Value set/code system definition for HL7 v2 table 0074 ( Diagnostic Service Section ID)","ValueSet/diagnostic-service-sections"
http://hl7.org/fhir/v2/0078,2.8.2,active,"2.16.840.1.113883.18.31",v2 Interpretation Codes,null,"FHIR Value set/code system definition for HL7 v2 table 0078 ( Interpretation Codes)","ValueSet/observation-interpretation"
http://hl7.org/fhir/v2/0092,2.8.2,active,"2.16.840.1.113883.18.36",v2 Re-Admission Indicator,null,"FHIR Value set/code system definition for HL7 v2 table 0092 ( Re-Admission Indicator)","ValueSet/v2-0092"
http://hl7.org/fhir/v2/0116,2.8.2,active,"2.16.840.1.113883.18.47",v2 Bed Status,null,"FHIR Value set/code system definition for HL7 v2 table 0116 ( Bed Status)","ValueSet/v2-0116"
http://hl7.org/fhir/v2/0131,2.8.2,active,"2.16.840.1.113883.18.58",v2 Contact Role,null,"FHIR Value set/code system definition for HL7 v2 table 0131 ( Contact Role)","ValueSet/v2-0131"
http://hl7.org/fhir/v2/0136,2.8.2,active,"2.16.840.1.113883.18.347",v2 Yes/no Indicator,null,"FHIR Value set/code system definition for HL7 v2 table 0136 ( Yes/no Indicator)","ValueSet/v2-0136"
http://hl7.org/fhir/v2/0203,2.8.2,active,"2.16.840.1.113883.18.108",v2 Identifier Type,null,"FHIR Value set/code system definition for HL7 v2 table 0203 ( Identifier Type)","ValueSet/identifier-type"
http://hl7.org/fhir/v2/0360/2.7,0360,active,"2.16.840.1.113883.18.220",v2 table 0360, Version 2.7,null,"v2 table definition for v2 table 0360, Version 2.7","ValueSet/v2-2.7-0360"
http://hl7.org/fhir/v2/0371,2.8.2,active,"2.16.840.1.113883.18.229",v2 Additive/Preservative,null,"FHIR Value set/code system definition for HL7 v2 table 0371 ( Additive/Preservative)","ValueSet/v2-0371"
http://hl7.org/fhir/v2/0373,2.8.2,active,"2.16.840.1.113883.18.231",v2 Treatment,null,"FHIR Value set/code system definition for HL7 v2 table 0373 ( Treatment)","ValueSet/specimen-processing-procedure"
http://hl7.org/fhir/v2/0443,2.8.2,active,"2.16.840.1.113883.18.283",v2 Provider Role,null,"FHIR Value set/code system definition for HL7 v2 table 0443 ( Provider Role)","ValueSet/immunization-role"
http://hl7.org/fhir/v2/0444,2.8.2,active,"2.16.840.1.113883.18.284",v2 Name Assembly Order,null,"FHIR Value set/code system definition for HL7 v2 table 0444 ( Name Assembly Order)","ValueSet/name-assembly-order"
